,comment
1607130, 真是不懂那些95后00后，好吧，我是无聊陪弟弟看的……
1430267, 我比一星多一星是因为特效很好，不愧是工业光魔。嗯，没了
1670611, 除了里头演员长得大多值得犯花痴之外，没什么可说的了吧。
1218300, 和《午夜狂奔》比，骗子韩二你好意思说你拍的也叫公路片？
1607016, 一星给漂亮衣服，管他什么牌子，另外一星~比摩登年代好看
1117701, 这种弱智电影实在不是我的菜。还没有升级对我的吸引力大。
363833, 动画效果确实很让人惊喜，但是这掩盖不了情节单薄的事实。
202451, 这是公益宣传片吧？不知道为什么，就是不喜欢姚星彤。。。
1491575, 我连热评都懒得看 = = 庆幸年轻的时候没追过饶雪漫。
618761, 下午看了西游降魔录笑完以后出来~~~什么都忘了~~~~
873541, 只想把王宝强一巴掌呼趴下。观看全程完全一次都没有笑过。
891593, 别人给的高清版。看到五分之三睡着了。。应该是我的问题。
1631930, 确实是一部让喜欢剧透的同学无地自容的“无剧情”片。。。
91489, 故事太牵强，中国元素用的不错，但是逻辑太乱。比较失望。
256613, 姚晨这演技简直垃圾。。。故事也够二逼的，还是原著好看。
1607173, 看完后想不出什么剧情，反正就是一堆帅哥晃来晃去。。。。
124594, 两颗星，不是剧情，不是声优，不是画面，是为了鼓励你们。
952440, 明哥还是那么吊吊的，幂姐还是那么贱贱的...风格依旧啊
971696, 从一开场就开始打打打打打…半个小时后我就睡昏过去了……
671341, 换掉演员这片绝对不是这种分数，作品底子很硬，败在卡司！
18656, 一群奥特曼酷炫打小怪 花式太屌 人物太杂 看得我睡着了
617892, 可能在电影院的氛围中可以笑几声，但不可否认这是部烂片。
978773, 对不起跟大伙唱反调了可是我真的觉得没传说中那么好啊……
1190673, 终于知道为什么韩寒辣么卖命刷微博了…没剧情一切都是扯淡
1624148, 一星给唐宛如 一星给结尾  因为是她们让我坚持没有睡着
1492218, 女主没有演技，我小时候为啥会喜欢这么矫情的东西啊！！！
1837779, WHAT THE HELL IS THIS!!!!!!
64460, 国产电影的问题在于：感情边缘的东西用力过猛，而情未至。
1139052, 本质上看纯粹跟超级战舰一型的，无脑英雄大片，看特效还行
494975, 两颗星 只能这样了 我想说豆瓣那吓人的高分是水军刷的麽
91768, 动画的话质感一流，很漂亮，但是故事的情节真的太粗糙了。
891393, 我是看不来这类电影 但它的票房就是高 有什么说的 呵呵
1020295, #不知道为什么要看完系列 周冬雨和这个角色的组合+1星
1833235, 看完就一个感受，导演在跟全世界说：中国人傻钱多，速来。
1606963, 快进着看了，却觉得幂幂变美了快告诉我我不是一个人T.T
671524, 不过是在消费大家对周星星残存的好感。要不是免费才不看。
256850, 什么电影都要塞一点狗血情节，不塞感觉就不像国产玄幻剧了
723940, 尴尬 疲惫 烂片却让人睡不着 焦躁 气虚  无力吐槽 
952358, 对不起。我浪费了自己钱。我以为它至少会比电视剧好一些。
1532904, 意思还是有点，表演完全不在一个次元，演最好的是卢正雨。
1934092, 不知道怎么口碑那么高，故事情节比较套路借鉴一些经典影片
1492106, 号称青春类型的电影就没啥好看的，不化浓妆的黎吧啦还不错
212150, 我总觉得成龙想编织made in china的美国梦。
952255, 杨幂演戏感觉来来去去都只是一个人，加上丑明也是够够的啦
1771530, 并没有传说中那么好 bug还是好多的 满满的套路与煽情
952296, 本来觉得电视剧拍的很烂了！看过电影就觉得电视剧还可以！
1492129, 小耳朵的戏份太打酱油了吧，怎么觉得每个角色都有bug啊
968536, 看了一会  实在看不下去了 就走了  不知道该说啥  
1669640, 就电影质量来说真的一般，但是就它承载的记忆来说，五颗星
706628, 看到内涵的标签，我就忍不住了。。。多一分是给这张免费票
124781, 就画面能看 情节简直nc 想不明白男二怎么会败给一条鱼
255896, 剧情乱改，特效不错。可惜最想看的昆仑水怪没有几个镜头。
953379, 主角和小说里的性格不像啊……选景挺好的，上海还是很美的
29996, 超级英雄排排站。第一次在荧幕上听到詹姆斯史派德的声音。
1505151, 要说什么  不是无脑一星就好  果然电影的艺术够了够了
953555, 恩，两星给何以琛这个角色，至少这个角色本身是有魅力的。
1531372, 跟着儿子看了两遍，一遍比一遍不好看。环保主题还是OK的
953646, 天呐噜。。之前一直抗拒着没看的，最近无聊的出奇还是看了
953641, 啥啥啥呀 虽然原著本来就不感冒 但是 这电影都啥啥啥呀
255674, 哎 没有比较就没有伤害 先看寻龙诀 这部怎么看怎么出戏
670881, 如果可以换几个演员 ，说不定可以给三星。这个评分没话说
723267, 语言不美，情节混乱，如果是一个人，就有中途退出的冲动！
1431314, 看过了，不是我说什么，给高分的应该是在看电影时睡觉了！
1505024, 支持下杜飞处女作，顺便回忆有饶雪漫小说陪伴的高中生活。
1632081, 一分给郭采洁，另一分给HOLD姐。。。杨幂的声音真的是
1632075, 比预想的要好一点 郭碧婷一分 片尾曲一分 上海九十九分
1191309, 两颗星都多，不知道讲的什么。倒是电影原声比电影更吸引人
66814, 凭什么不能用高一点的标准来要求我们所能享受的动画电影？
1531937, 这女的演的是个白痴么，这得有多少打五星的才能刷到7.3
619282, 各种雷，用儿歌降魔，普通话版的一生所爱……看的头皮发麻
953186, 这。。是人物特写凑成的电影吧，而且灯光打的特别难看。。
723418, 我欠星爷的票已经还完了  那星爷现在欠我的啥时候还啊？
953040, 哈哈哈......it's amazing......
1632187, 导演问题不大，之所以这么烂纯粹是因为那帮烂演员和烂剧本
1009089, 小时候怎么会喜欢安妮宝贝的....感觉小时候真的很矫情
725127, 到村庄前觉得5．8分低了些，到村庄后就觉得5.8分高了
505650, 这片子从喜剧角度值个3星，就三观来说怎么也要减掉一颗。
610098, 我头一次打这么低的分 这个电影的内容就是 捉了三个妖怪
1410839, 没故事情节的没觉着有多难看和有多不好看，不过很大手笔.
1846664, 情节线完全不及格，人物设定也不够好。给三星水准不错了。
60064, 剧情人物设定一坨屎，两颗星都是给背景画面，人物画的不好
947421, 觉得比电视剧好   情节紧凑也合理   电视版的简直了
1411200, 郑恺狗腿子的角色演的挺好。唯一老戏张涵予捐躯太早*_*
610259, 2星给星爷的，如果不是星爷，我看个开头估计就看不下去了
28571, 一星给特技和画面，一星给猩红女巫。剧情零分，看得好困。
67268, 全程尴尬脸…一星给作画一星给赤松子和祝融哥哥的cp组合
727522, 西游记这样的大IP折腾来折腾去到底折腾出什么了？不懂。
1498306, 片子是狗血了点，喜欢这个女主角，哈哈，漂亮可爱的小女孩
