movieId,title,title_cn
0,Avengers Age of Ultron,复仇者联盟2
1,Big Fish and Begonia,大鱼海棠
2,Captain America Civil War,美国队长3
3,Chinese Zodiac,十二生肖
4,Chronicles of the Ghostly Tribe,九层妖塔
5,CUG King of Heroes,大圣归来
6,Forever Young,栀子花开
7,Goodbye Mr. Loser,夏洛特烦恼
8,Iron Man,钢铁侠1
9,Journey to the West Conquering the Demons,西游降魔篇
10,Journey to the West The Demons Strike Back,西游伏妖篇
11,La La Land,爱乐之城
12,Lost In Thailand,泰囧
13,My Sunshine,何以笙箫默
14,Operation Mekong,湄公河行动
15,Soulmate,七月与安生
16,The Avengers,复仇者联盟
17,The Continent,后会无期
18,The Ghouls,寻龙诀
19,The Great Wall,长城
20,The Left Ear,左耳
21,The Mermaid,美人鱼
22,Tiny Times 1.0,小时代1
23,Tiny Times 3.0,小时代3
24,Train to Busan,釜山行
25,Transformers Age of Extinction,变形金刚4
26,Your Name,你的名字
27,Zootopia,疯狂动物城
